message_id,channel_name,image_path,detected_objects_count,detected_classes,top_detected_class,top_confidence,image_category,all_confidences
22193,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22193.jpg,2,"39,60",bottle,0.8129168152809143,product_display,"{39: 0.8129168152809143, 60: 0.32531923055648804}"
22187,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22187.jpg,0,,,0.0,other,{}
20790,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20790.jpg,0,,,0.0,other,{}
20948,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20948.jpg,0,,,0.0,other,{}
22839,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22839.jpg,2,"39,60",bottle,0.9044641256332397,product_display,"{39: 0.9044641256332397, 60: 0.3380425274372101}"
21667,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21667.jpg,2,"39,39",bottle,0.9156716465950012,product_display,{39: 0.8188872933387756}
21101,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21101.jpg,0,,,0.0,other,{}
22408,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22408.jpg,2,"39,60",bottle,0.4841192960739136,product_display,"{39: 0.4841192960739136, 60: 0.29485949873924255}"
21115,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21115.jpg,1,39,bottle,0.5016389489173889,product_display,{39: 0.5016389489173889}
21673,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21673.jpg,0,,,0.0,other,{}
21883,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21883.jpg,0,,,0.0,other,{}
22352,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22352.jpg,1,39,bottle,0.907014787197113,product_display,{39: 0.907014787197113}
22434,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22434.jpg,1,39,bottle,0.8075836300849915,product_display,{39: 0.8075836300849915}
21129,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21129.jpg,1,74,clock,0.3609219193458557,other,{74: 0.3609219193458557}
22420,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22420.jpg,25,"39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39",bottle,0.6552401185035706,product_display,{39: 0.2851354479789734}
22346,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22346.jpg,1,39,bottle,0.5791810154914856,product_display,{39: 0.5791810154914856}
21897,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21897.jpg,0,,,0.0,other,{}
21868,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21868.jpg,0,,,0.0,other,{}
22391,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22391.jpg,2,"39,60",bottle,0.9044641256332397,product_display,"{39: 0.9044641256332397, 60: 0.3380425274372101}"
21698,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21698.jpg,2,"41,41",cup,0.5479627251625061,product_display,{41: 0.250906378030777}
21840,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21840.jpg,0,,,0.0,other,{}
21854,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21854.jpg,0,,,0.0,other,{}
22385,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22385.jpg,2,"0,11",person,0.678920328617096,lifestyle,"{0: 0.678920328617096, 11: 0.271867960691452}"
21878,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21878.jpg,0,,,0.0,other,{}
22381,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22381.jpg,1,72,refrigerator,0.3571473956108093,other,{72: 0.3571473956108093}
21850,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21850.jpg,0,,,0.0,other,{}
21688,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21688.jpg,2,"41,39",cup,0.4508797228336334,product_display,"{41: 0.4508797228336334, 39: 0.28066715598106384}"
21844,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21844.jpg,1,72,refrigerator,0.38142046332359314,other,{72: 0.38142046332359314}
22395,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22395.jpg,25,"39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39",bottle,0.6552401185035706,product_display,{39: 0.2851354479789734}
21677,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21677.jpg,2,"0,11",person,0.678920328617096,lifestyle,"{0: 0.678920328617096, 11: 0.271867960691452}"
21111,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21111.jpg,1,12,parking meter,0.4189504384994507,other,{12: 0.4189504384994507}
22418,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22418.jpg,2,"41,73",cup,0.2695249319076538,product_display,"{41: 0.2695249319076538, 73: 0.2602492868900299}"
21105,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21105.jpg,0,,,0.0,other,{}
21663,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21663.jpg,0,,,0.0,other,{}
21893,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21893.jpg,1,39,bottle,0.8075836300849915,product_display,{39: 0.8075836300849915}
22342,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22342.jpg,1,39,bottle,0.9318892359733582,product_display,{39: 0.9318892359733582}
22424,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22424.jpg,0,,,0.0,other,{}
